omega_rad_s,temp_C,Gp_MPa,Gpp_MPa,tan_delta
0.1,30,543.29,43.16,0.07944
0.12589,30,552.25,39.051,0.07071
0.15849,30,559.91,37.447,0.06688
0.19953,30,566.72,36.248,0.06396
0.25119,30,572.95,35.331,0.06167
0.31623,30,578.65,34.673,0.05992
0.39811,30,584.34,33.982,0.05815
0.50119,30,589.48,33.465,0.05677
0.63096,30,594.61,32.906,0.05534
0.79433,30,599.52,32.357,0.05397
1.0,30,604.28,32.289,0.05343
1.25893,30,608.78,31.708,0.05209
1.58489,30,613.42,31.459,0.05129
1.99526,30,618.21,31.331,0.05068
2.51189,30,622.83,30.766,0.0494
3.16228,30,627.13,30.502,0.04864
3.98107,30,631.64,30.337,0.04803
5.01187,30,635.94,30.087,0.04731
6.30958,30,640.39,29.976,0.04681
7.94329,30,644.57,29.838,0.04629
10.0,30,648.92,29.703,0.04577
12.5893,30,653.16,29.681,0.04544
15.8489,30,657.39,29.558,0.04496
19.9526,30,661.71,29.546,0.04465
25.1189,30,665.71,29.515,0.04434
31.6228,30,669.68,29.655,0.04428
39.8107,30,674.04,29.512,0.04378
50.1188,30,678.11,29.58,0.04362
63.0958,30,682.01,29.701,0.04355
79.4329,30,685.76,29.612,0.04318
100.0,30,689.56,29.453,0.04271
