omega_rad_s,omega_reduced,temp_C,Gp_MPa,Gpp_MPa,tan_delta,aT
0.1,1.8400000000000002e-11,200,6.8056,0.12347,0.01814,1.84e-10
0.12589,2.3163760000000003e-11,200,6.6648,0.0993927,0.01491,1.84e-10
0.15849,2.916216e-11,200,6.6726,0.0837917,0.01256,1.84e-10
0.19953,3.6713520000000004e-11,200,6.6729,0.10515,0.01576,1.84e-10
0.25119,4.621896000000001e-11,200,6.6857,0.0614334,0.00919,1.84e-10
0.31623,5.8186320000000003e-11,200,6.7474,0.00861537,0.00128,1.84e-10
0.39811,7.325224e-11,200,6.7464,0.0155749,0.00231,1.84e-10
0.50119,9.221896000000001e-11,200,6.7413,0.002398,0.00035572,1.84e-10
0.63096,1.1609664e-10,200,6.7376,0.008706479999999999,0.00129,1.84e-10
0.79433,1.4615672e-10,200,6.7543,-0.02411,-0.0036,1.84e-10
1.0,1.84e-10,200,6.7723,-0.006784,-0.001,1.84e-10
0.1,1.84e-10,190,6.6506,0.0979546,0.01473,1.84e-09
0.12589,2.316376e-10,190,6.6164,0.00194816,0.00029445,1.84e-09
1.25893,2.3164312000000003e-10,200,6.7753,-0.037175,-0.0055,1.84e-10
1.58489,2.9161976e-10,200,6.7755,-0.020391,-0.003,1.84e-10
0.15849,2.916216e-10,190,6.594,0.0437372,0.00663,1.84e-09
1.99526,3.6712784000000005e-10,200,6.7834,-0.052343,-0.0077,1.84e-10
0.19953,3.6713520000000006e-10,190,6.6302,0.0393999,0.00594,1.84e-09
2.51189,4.621877600000001e-10,200,6.802,-0.042698,-0.0063,1.84e-10
0.25119,4.6218960000000006e-10,190,6.6385,0.025938799999999998,0.00391,1.84e-09
3.16228,5.8185952e-10,200,6.8009,-0.046125,-0.0068,1.84e-10
0.31623,5.818632000000001e-10,190,6.6406,0.0124798,0.00188,1.84e-09
3.98107,7.3251688e-10,200,6.813,-0.050128,-0.0074,1.84e-10
0.39811,7.325224e-10,190,6.6649,-0.022502,-0.0034,1.84e-09
5.01187,9.221840800000001e-10,200,6.8344,-0.04627,-0.0068,1.84e-10
0.50119,9.221896000000001e-10,190,6.6977,-0.020101,-0.003,1.84e-09
6.30958,1.1609627200000002e-09,200,6.8296,-0.051945,-0.0076,1.84e-10
0.63096,1.1609664e-09,190,6.7172,-0.032959,-0.0049,1.84e-09
7.94329,1.4615653600000002e-09,200,6.8379,-0.046695,-0.0068,1.84e-10
0.79433,1.4615672e-09,190,6.7253,-0.049964,-0.0074,1.84e-09
0.1,1.84e-09,180,6.7068,0.00826298,0.00123,1.84e-08
1.0,1.84e-09,190,6.7206,-0.040782,-0.0061,1.84e-09
10.0,1.84e-09,200,6.8526,-0.038654,-0.0056,1.84e-10
0.12589,2.3163759999999998e-09,180,6.5979,0.006937260000000001,0.00105,1.84e-08
12.5893,2.3164312e-09,200,6.8587,-0.067443,-0.0098,1.84e-10
1.25893,2.3164312000000004e-09,190,6.7213,-0.036718,-0.0055,1.84e-09
1.58489,2.9161976e-09,190,6.7293,-0.050934,-0.0076,1.84e-09
15.8489,2.9161976000000004e-09,200,6.8895,-0.073092,-0.0106,1.84e-10
0.15849,2.9162159999999996e-09,180,6.581,-0.00037029,-5.627e-05,1.84e-08
1.99526,3.6712784e-09,190,6.7565,-0.055189,-0.0082,1.84e-09
19.9526,3.6712784e-09,200,6.8712,-0.04202,-0.0061,1.84e-10
0.19953,3.671352e-09,180,6.5921,-0.033438,-0.0051,1.84e-08
25.1189,4.621877600000001e-09,200,6.8744,-0.047603,-0.0069,1.84e-10
2.51189,4.621877600000001e-09,190,6.75,-0.06736,-0.01,1.84e-09
0.25119,4.621896e-09,180,6.5697,-0.026142,-0.004,1.84e-08
3.16228,5.8185952e-09,190,6.761,-0.068471,-0.0101,1.84e-09
31.6228,5.818595200000001e-09,200,6.839,-0.033054,-0.0048,1.84e-10
0.31623,5.818632e-09,180,6.633,-0.019535,-0.0029,1.84e-08
39.8107,7.3251688e-09,200,6.8704,-0.03826,-0.0056,1.84e-10
3.98107,7.3251688e-09,190,6.7819,-0.076653,-0.0113,1.84e-09
0.39811,7.325224e-09,180,6.6147,-0.053396,-0.0081,1.84e-08
5.01187,9.2218408e-09,190,6.7795,-0.051142,-0.0075,1.84e-09
50.1188,9.221859200000001e-09,200,6.8986,-0.021576,-0.0031,1.84e-10
0.50119,9.221896e-09,180,6.644,-0.051244,-0.0077,1.84e-08
0.1,9.508000000000001e-09,170,6.9141,0.11839,0.01712,9.508e-08
63.0958,1.16096272e-08,200,6.8822,-0.01651,-0.0024,1.84e-10
6.30958,1.1609627200000001e-08,190,6.7919,-0.066821,-0.0098,1.84e-09
0.63096,1.1609663999999998e-08,180,6.6385,-0.046537,-0.007,1.84e-08
0.12589,1.19696212e-08,170,6.569,-0.05827,-0.0089,9.508e-08
7.94329,1.46156536e-08,190,6.7961,-0.06142,-0.009,1.84e-09
79.4329,1.4615653600000002e-08,200,6.8601,-0.02084,-0.003,1.84e-10
0.79433,1.4615672e-08,180,6.6648,-0.050062,-0.0075,1.84e-08
0.15849,1.50692292e-08,170,6.4983,-0.039798,-0.0061,9.508e-08
10.0,1.84e-08,190,6.7967,-0.058331,-0.0086,1.84e-09
1.0,1.84e-08,180,6.6608,-0.04848,-0.0073,1.84e-08
100.0,1.8400000000000003e-08,200,6.8677,-0.008088699999999999,-0.0012,1.84e-10
0.19953,1.8971312400000002e-08,170,6.5267,-0.025049,-0.0038,9.508e-08
12.5893,2.3164312000000002e-08,190,6.8074,-0.073786,-0.0108,1.84e-09
1.25893,2.3164312000000002e-08,180,6.6724,-0.054538,-0.0082,1.84e-08
0.25119,2.3883145200000003e-08,170,6.5435,-0.030945,-0.0047,9.508e-08
1.58489,2.9161975999999996e-08,180,6.6879,-0.060477,-0.009,1.84e-08
15.8489,2.9161976000000002e-08,190,6.8023,-0.084264,-0.0124,1.84e-09
0.31623,3.00671484e-08,170,6.5257,-0.054348,-0.0083,9.508e-08
1.99526,3.6712783999999997e-08,180,6.6868,-0.047065,-0.007,1.84e-08
19.9526,3.6712784e-08,190,6.8181,-0.054651,-0.008,1.84e-09
0.39811,3.78522988e-08,170,6.5506,-0.046736,-0.0071,9.508e-08
2.51189,4.6218776e-08,180,6.6971,-0.083863,-0.0125,1.84e-08
25.1189,4.6218776e-08,190,6.8076,-0.039046,-0.0057,1.84e-09
0.50119,4.76531452e-08,170,6.5627,-0.074841,-0.0114,9.508e-08
0.1,5.52e-08,160,6.6213,-0.01433,-0.0022,5.52e-07
3.16228,5.8185952e-08,180,6.6977,-0.088251,-0.0132,1.84e-08
31.6228,5.818595200000001e-08,190,6.8473,-0.047284,-0.0069,1.84e-09
0.63096,5.99916768e-08,170,6.5495,-0.056397,-0.0086,9.508e-08
0.12589,6.949127999999999e-08,160,6.5276,-0.040274,-0.0062,5.52e-07
3.98107,7.325168799999999e-08,180,6.6822,-0.047841,-0.0072,1.84e-08
39.8107,7.325168799999999e-08,190,6.813,-0.06299,-0.0092,1.84e-09
0.79433,7.55248964e-08,170,6.587,-0.05752,-0.0087,9.508e-08
0.15849,8.748647999999999e-08,160,6.4957,-0.047868,-0.0074,5.52e-07
5.01187,9.2218408e-08,180,6.715,-0.059088,-0.0088,1.84e-08
50.1188,9.2218592e-08,190,6.8328,-0.035283,-0.0052,1.84e-09
1.0,9.508e-08,170,6.5836,-0.060846,-0.0092,9.508e-08
0.19953,1.1014056e-07,160,6.4899,-0.052902,-0.0082,5.52e-07
6.30958,1.16096272e-07,180,6.7082,-0.063327,-0.0094,1.84e-08
63.0958,1.16096272e-07,190,6.8383,0.00326483,0.00047743,1.84e-09
1.25893,1.1969906440000002e-07,170,6.592,-0.063229,-0.0096,9.508e-08
0.25119,1.3865688e-07,160,6.4524,-0.046429,-0.0072,5.52e-07
7.94329,1.46156536e-07,180,6.7139,-0.060216,-0.009,1.84e-08
79.4329,1.4615653600000001e-07,190,6.8249,-0.029843,-0.0044,1.84e-09
1.58489,1.506913412e-07,170,6.6081,-0.072049,-0.0109,9.508e-08
0.31623,1.7455896e-07,160,6.5102,-0.055645,-0.0085,5.52e-07
0.1,1.84e-07,150,6.5466,0.13158,0.0201,1.84e-06
100.0,1.84e-07,190,6.8177,-0.0039166,-0.0005745,1.84e-09
10.0,1.84e-07,180,6.7476,-0.06402,-0.0095,1.84e-08
1.99526,1.897093208e-07,170,6.6323,-0.073927,-0.0111,9.508e-08
0.39811,2.1975672e-07,160,6.505,-0.046933,-0.0072,5.52e-07
0.12589,2.316376e-07,150,6.4468,-0.071484,-0.0111,1.84e-06
12.5893,2.3164312e-07,180,6.7457,-0.046714,-0.0069,1.84e-08
2.51189,2.3883050120000004e-07,170,6.6125,-0.057376,-0.0087,9.508e-08
0.50119,2.7665688e-07,160,6.5514,-0.058368,-0.0089,5.52e-07
15.8489,2.9161976e-07,180,6.748,-0.079979,-0.0119,1.84e-08
0.15849,2.916216e-07,150,6.4013,-0.089115,-0.0139,1.84e-06
3.16228,3.006695824e-07,170,6.6306,-0.067166,-0.0101,9.508e-08
0.63096,3.4828992e-07,160,6.5552,-0.047347,-0.0072,5.52e-07
19.9526,3.6712784e-07,180,6.7459,-0.052783,-0.0078,1.84e-08
0.19953,3.671352e-07,150,6.3706,-0.049903,-0.0078,1.84e-06
3.98107,3.785201356e-07,170,6.6288,-0.061754,-0.0093,9.508e-08
0.79433,4.3847016e-07,160,6.5578,-0.076232,-0.0116,5.52e-07
25.1189,4.6218775999999996e-07,180,6.7571,-0.032403,-0.0048,1.84e-08
0.25119,4.621896e-07,150,6.3998,-0.05252,-0.0082,1.84e-06
5.01187,4.765285996e-07,170,6.6466,-0.040638,-0.0061,9.508e-08
1.0,5.52e-07,160,6.5706,-0.062707,-0.0095,5.52e-07
31.6228,5.8185952e-07,180,6.7652,-0.034153,-0.005,1.84e-08
0.31623,5.818632e-07,150,6.4075,-0.045175,-0.0071,1.84e-06
6.30958,5.999148664000001e-07,170,6.6491,-0.066498,-0.01,9.508e-08
1.25893,6.9492936e-07,160,6.5739,-0.061725,-0.0094,5.52e-07
39.8107,7.325168799999999e-07,180,6.7551,-0.024931,-0.0037,1.84e-08
0.39811,7.325224e-07,150,6.4166,-0.052671,-0.0082,1.84e-06
7.94329,7.552480132e-07,170,6.6593,-0.04864,-0.0073,9.508e-08
1.58489,8.748592799999999e-07,160,6.5996,-0.051177,-0.0078,5.52e-07
50.1188,9.2218592e-07,180,6.7558,-0.0091895,-0.0014,1.84e-08
0.50119,9.221896e-07,150,6.4354,-0.06917,-0.0107,1.84e-06
10.0,9.508000000000001e-07,170,6.6774,-0.054137,-0.0081,9.508e-08
0.1,1.0835999999999999e-06,140,6.5155,0.0826604,0.01269,1.0836e-05
1.99526,1.1013835199999999e-06,160,6.5819,-0.04869,-0.0074,5.52e-07
63.0958,1.1609627199999998e-06,180,6.7688,-0.0014200999999999999,-0.0002098,1.84e-08
0.63096,1.1609663999999999e-06,150,6.4613,-0.051341,-0.0079,1.84e-06
12.5893,1.196990644e-06,170,6.6744,-0.047414,-0.0071,9.508e-08
0.12589,1.3641440399999999e-06,140,6.3941,-0.083869,-0.0131,1.0836e-05
2.51189,1.38656328e-06,160,6.5837,-0.05057,-0.0077,5.52e-07
79.4329,1.46156536e-06,180,6.7571,0.0160812,0.00238,1.84e-08
0.79433,1.4615672e-06,150,6.4618,-0.047205,-0.0073,1.84e-06
15.8489,1.506913412e-06,170,6.6689,-0.041383,-0.0062,9.508e-08
0.15849,1.7173976399999998e-06,140,6.3178,-0.079377,-0.0126,1.0836e-05
3.16228,1.7455785599999998e-06,160,6.6069,-0.057626,-0.0087,5.52e-07
1.0,1.84e-06,150,6.4693,-0.040251,-0.0062,1.84e-06
100.0,1.84e-06,180,6.7599,0.036575,0.00541,1.84e-08
19.9526,1.8970932080000002e-06,170,6.6978,-0.020582,-0.0031,9.508e-08
0.19953,2.16210708e-06,140,6.3081,-0.037478,-0.0059,1.0836e-05
3.98107,2.1975506399999996e-06,160,6.5988,-0.041665,-0.0063,5.52e-07
1.25893,2.3164312e-06,150,6.4803,-0.042097,-0.0065,1.84e-06
25.1189,2.388305012e-06,170,6.7049,-0.011428,-0.0017,9.508e-08
0.25119,2.72189484e-06,140,6.3224,-0.026607,-0.0042,1.0836e-05
5.01187,2.76655224e-06,160,6.6194,-0.03899,-0.0059,5.52e-07
1.58489,2.9161976e-06,150,6.4893,-0.027242,-0.0042,1.84e-06
31.6228,3.006695824e-06,170,6.7002,-0.009808299999999999,-0.0015,9.508e-08
0.31623,3.42666828e-06,140,6.3445,-0.019686,-0.0031,1.0836e-05
6.30958,3.48288816e-06,160,6.6405,-0.040986,-0.0062,5.52e-07
1.99526,3.6712784e-06,150,6.5096,-0.016672,-0.0026,1.84e-06
39.8107,3.7852013559999996e-06,170,6.7124,-0.0036712,-0.0005469,9.508e-08
0.39811,4.31391996e-06,140,6.3396,-0.0089283,-0.0014,1.0836e-05
7.94329,4.38469608e-06,160,6.6419,-0.01051,-0.0016,5.52e-07
2.51189,4.6218776e-06,150,6.4995,-0.016882,-0.0026,1.84e-06
50.1188,4.765295504e-06,170,6.7346,0.0222961,0.00331,9.508e-08
0.50119,5.43089484e-06,140,6.3761,0.00452709,0.00071001,1.0836e-05
10.0,5.52e-06,160,6.6384,-0.016715,-0.0025,5.52e-07
3.16228,5.8185952e-06,150,6.539,0.00609405,0.00093195,1.84e-06
63.0958,5.999148664e-06,170,6.7147,0.0395463,0.00589,9.508e-08
0.63096,6.8370825599999996e-06,140,6.4076,0.000881472,0.00013757,1.0836e-05
12.5893,6.949293599999999e-06,160,6.6387,-0.0094319,-0.0014,5.52e-07
3.98107,7.325168799999999e-06,150,6.5495,0.00777409,0.00119,1.84e-06
79.4329,7.5524801320000005e-06,170,6.7183,0.052770300000000006,0.00785,9.508e-08
0.79433,8.60735988e-06,140,6.4236,0.0250765,0.0039,1.0836e-05
15.8489,8.7485928e-06,160,6.6628,0.0118664,0.00178,5.52e-07
5.01187,9.2218408e-06,150,6.5534,0.021804900000000002,0.00333,1.84e-06
0.1,9.32e-06,130,6.5759,0.18717,0.02846,9.32e-05
100.0,9.508e-06,170,6.7285,0.10424,0.01549,9.508e-08
1.0,1.0836e-05,140,6.4606,0.0477589,0.00739,1.0836e-05
19.9526,1.10138352e-05,160,6.6841,0.021964099999999997,0.00329,5.52e-07
6.30958,1.16096272e-05,150,6.5688,0.0516461,0.00786,1.84e-06
0.12589,1.1732948e-05,130,6.3276,0.0430046,0.0068,9.32e-05
1.25893,1.364176548e-05,140,6.4702,0.0585829,0.00905,1.0836e-05
25.1189,1.3865632799999999e-05,160,6.7055,0.0456263,0.0068,5.52e-07
7.94329,1.46156536e-05,150,6.6078,0.0446498,0.00676,1.84e-06
0.15849,1.4771268e-05,130,6.2737,0.0993537,0.01584,9.32e-05
1.58489,1.7173868039999997e-05,140,6.5063,0.0787611,0.01211,1.0836e-05
31.6228,1.74557856e-05,160,6.7024,0.0650929,0.00971,5.52e-07
10.0,1.84e-05,150,6.6247,0.0908887,0.01372,1.84e-06
0.19953,1.8596196000000002e-05,130,6.2896,0.0894007,0.01421,9.32e-05
1.99526,2.162063736e-05,140,6.5246,0.10352,0.01587,1.0836e-05
39.8107,2.1975506399999996e-05,160,6.7313,0.0875205,0.013,5.52e-07
12.5893,2.3164312e-05,150,6.6477,0.10609,0.01596,1.84e-06
0.25119,2.3410908e-05,130,6.3059,0.12812,0.02032,9.32e-05
2.51189,2.721884004e-05,140,6.5616,0.14643,0.02232,1.0836e-05
50.1188,2.7665577599999998e-05,160,6.7387,0.13534,0.02008,5.52e-07
15.8489,2.9161976e-05,150,6.6867,0.142,0.02124,1.84e-06
0.31623,2.9472636e-05,130,6.3393,0.17226,0.02717,9.32e-05
3.16228,3.426646608e-05,140,6.5925,0.14951,0.02268,1.0836e-05
63.0958,3.48288816e-05,160,6.7651,0.17196,0.02542,5.52e-07
19.9526,3.6712784e-05,150,6.7046,0.18087,0.02698,1.84e-06
0.39811,3.7103852000000004e-05,130,6.3788,0.17504,0.02744,9.32e-05
3.98107,4.3138874519999994e-05,140,6.634,0.21453,0.03234,1.0836e-05
79.4329,4.38469608e-05,160,6.7517,0.20775,0.03077,5.52e-07
25.1189,4.6218776e-05,150,6.7325,0.22298,0.03312,1.84e-06
0.50119,4.6710908e-05,130,6.4245,0.22769,0.03544,9.32e-05
5.01187,5.4308623319999994e-05,140,6.6753,0.25193,0.03774,1.0836e-05
100.0,5.52e-05,160,6.8046,0.2618,0.03847,5.52e-07
31.6228,5.8185952000000004e-05,150,6.7648,0.28491,0.04212,1.84e-06
0.63096,5.8805472e-05,130,6.4807,0.26791,0.04134,9.32e-05
6.30958,6.837060888e-05,140,6.7154,0.29797,0.04437,1.0836e-05
39.8107,7.3251688e-05,150,6.7995,0.34601,0.05089,1.84e-06
0.79433,7.4031556e-05,130,6.5296,0.31291,0.04792,9.32e-05
7.94329,8.607349044e-05,140,6.7552,0.3571,0.05286,1.0836e-05
50.1188,9.2218592e-05,150,6.8604,0.40203,0.0586,1.84e-06
1.0,9.32e-05,130,6.5871,0.36694,0.05571,9.32e-05
10.0,0.00010836,140,6.8205,0.42616,0.06248,1.0836e-05
63.0958,0.00011609627199999999,150,6.917,0.47705,0.06897,1.84e-06
1.25893,0.00011733227600000002,130,6.677,0.42894,0.06424,9.32e-05
0.1,0.0001328,120,6.9374,0.57377,0.08271,0.001328
12.5893,0.00013641765479999998,140,6.8975,0.47913,0.06946,1.0836e-05
79.4329,0.00014615653600000001,150,6.9891,0.55061,0.07878,1.84e-06
1.58489,0.000147711748,130,6.7513,0.51667,0.07653,9.32e-05
0.12589,0.00016718192,120,6.8827,0.55648,0.08085,0.001328
15.8489,0.0001717386804,140,6.983,0.54688,0.07832,1.0836e-05
100.0,0.000184,150,7.0415,0.63313,0.08991,1.84e-06
1.99526,0.000185958232,130,6.8389,0.57756,0.08445,9.32e-05
0.15849,0.00021047472,120,6.9098,0.61372,0.08882,0.001328
19.9526,0.00021620637359999999,140,7.0623,0.64448,0.09126,1.0836e-05
2.51189,0.00023410814800000002,130,6.9496,0.66109,0.09513,9.32e-05
0.19953,0.00026497584000000003,120,6.9899,0.72429,0.10362,0.001328
25.1189,0.00027218840039999997,140,7.184,0.76493,0.10648,1.0836e-05
3.16228,0.00029472449600000003,130,7.0691,0.77333,0.1094,9.32e-05
0.25119,0.00033358032,120,7.1022,0.84215,0.11858,0.001328
31.6228,0.0003426646608,140,7.2892,0.84964,0.11656,1.0836e-05
3.98107,0.000371035724,130,7.1841,0.87108,0.12125,9.32e-05
0.31623,0.00041995344,120,7.243,0.94868,0.13098,0.001328
39.8107,0.00043138874519999996,140,7.4026,0.96546,0.13042,1.0836e-05
5.01187,0.000467106284,130,7.2999,0.98314,0.13468,9.32e-05
0.39811,0.00052869008,120,7.3963,1.0532,0.1424,0.001328
50.1188,0.0005430873168,140,7.535,1.1223,0.14894,1.0836e-05
6.30958,0.0005880528560000001,130,7.471,1.1208,0.15002,9.32e-05
0.50119,0.0006655803200000001,120,7.5874,1.2169,0.16038,0.001328
63.0958,0.0006837060887999999,140,7.7061,1.256,0.16299,1.0836e-05
7.94329,0.000740314628,130,7.6427,1.2659,0.16564,9.32e-05
0.63096,0.0008379148799999999,120,7.7568,1.3505,0.1741,0.001328
79.4329,0.0008607349044,140,7.8662,1.4405,0.18313,1.0836e-05
10.0,0.000932,130,7.8509,1.4253,0.18154,9.32e-05
0.79433,0.00105487024,120,7.9857,1.502,0.18809,0.001328
100.0,0.0010835999999999999,140,8.0519,1.6105,0.20002,1.0836e-05
12.5893,0.00117332276,130,8.0627,1.6178,0.20066,9.32e-05
1.0,0.001328,120,8.2228,1.7097,0.20792,0.001328
15.8489,0.00147711748,130,8.2871,1.8161,0.21914,9.32e-05
1.25893,0.0016718590400000002,120,8.5017,1.9327,0.22733,0.001328
19.9526,0.00185958232,130,8.5747,2.0256,0.23622,9.32e-05
1.58489,0.00210473392,120,8.805,2.1507,0.24425,0.001328
25.1189,0.00234108148,130,8.8725,2.2816,0.25716,9.32e-05
1.99526,0.0026497052799999998,120,9.1487,2.4103,0.26346,0.001328
