i,g_i,tau_i_s,G_i_MPa
1,1.5038513164879793e-21,4.0849673202614475e-26,2.3858961099390683e-18
2,0.05602093358674825,4.516795475659124e-25,88.8785520578729
3,0.0399344507016332,4.99427284711521e-24,63.356961913024165
4,0.04937054295113252,5.522225083213987e-23,78.32754813007362
5,0.05244745558952778,6.105987959246554e-22,83.20914368016687
6,0.05189540430301816,6.751461303486999e-21,82.33330110016625
7,0.04943490202270589,7.465168624097028e-20,78.42965533762974
8,0.04462413636124342,8.254323039283417e-19,70.79726046476632
9,0.044439566987490034,9.126900177032015e-18,70.50443673543616
10,0.045208428483303725,1.0091718781185306e-16,71.72425390208787
11,0.03767558410474458,1.1158529838511567e-15,59.77321598861054
12,0.03650023510941223,1.2338115127533113e-14,57.908496674248276
13,0.03251929655507011,1.364239618510245e-13,51.592642369653376
14,0.03220325932358533,1.508455479200167e-12,51.09124173720496
15,0.03074826087451547,1.667916619525962e-11,48.78285187077171
16,0.030851921378784154,1.844234641360449e-10,48.94731174202185
17,0.031346070789543705,2.0391915114800873e-09,49.731291610200074
18,0.033160058111748617,2.2547575711000417e-08,52.60922591665455
19,0.03524743352272103,2.493111449224765e-07,55.92089696978247
20,0.03911713981256083,2.756662081069392e-06,62.06027862427818
21,0.042410202986423284,3.0480730540822012e-05,67.2848021726903
22,0.04453955313111022,0.0003370289527622391,70.66306714556761
23,0.044638788138645163,0.003726567998358391,70.82050586032055
24,0.04054432295677234,0.04120509212211754,64.32453884376383
25,0.030021805512002352,0.4556094555473362,47.630313049638666
26,0.014406602532170895,5.037726292880146,22.856419755123856
27,0.00463581242862217,55.70272059320592,7.354827381264743
28,0.0013504904051985633,615.911405482661,2.142585353316771
29,0.00034321993075703294,6810.203440043339,0.5445266354915658
30,1.039551919885058e-33,75301.2048192771,1.6492740037131692e-30
sum,0.9956358785911911,,1579.600153021828
